1_depth10000000_spike0.00100_offtargetnone_mapperminimap2-sr_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	6731
1_depth10000000_spike0.00100_offtargetnone_mapperminimap2-sr_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	10577
1_depth10000000_spike0.00100_offtargetnone_mapperminimap2-sr_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.00100_offtargetzymo_mapperbwa-mem_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	6731
1_depth10000000_spike0.00100_offtargetzymo_mapperbwa-mem_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	10577
1_depth10000000_spike0.00100_offtargetzymo_mapperbwa-mem_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.00100_offtargetzymo_mapperminimap2-sr_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	6731
1_depth10000000_spike0.00100_offtargetzymo_mapperminimap2-sr_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	10577
1_depth10000000_spike0.00100_offtargetzymo_mapperminimap2-sr_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.01000_offtargetassembly_mapperbwa-mem_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	66590
1_depth10000000_spike0.01000_offtargetassembly_mapperbwa-mem_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	70536
1_depth10000000_spike0.01000_offtargetassembly_mapperbwa-mem_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.01000_offtargetassembly_mapperminimap2-sr_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	66590
1_depth10000000_spike0.01000_offtargetassembly_mapperminimap2-sr_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	70536
1_depth10000000_spike0.01000_offtargetassembly_mapperminimap2-sr_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.01000_offtargetbins_mapperbwa-mem_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	66376
1_depth10000000_spike0.01000_offtargetbins_mapperbwa-mem_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	68402
1_depth10000000_spike0.01000_offtargetbins_mapperbwa-mem_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.01000_offtargetbins_mapperminimap2-sr_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	66376
1_depth10000000_spike0.01000_offtargetbins_mapperminimap2-sr_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	68402
1_depth10000000_spike0.01000_offtargetbins_mapperminimap2-sr_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.01000_offtargetnone_mapperbwa-mem_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	66590
1_depth10000000_spike0.01000_offtargetnone_mapperbwa-mem_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	70536
1_depth10000000_spike0.01000_offtargetnone_mapperbwa-mem_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.01000_offtargetnone_mapperminimap2-sr_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	66590
1_depth10000000_spike0.01000_offtargetnone_mapperminimap2-sr_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	70536
1_depth10000000_spike0.01000_offtargetnone_mapperminimap2-sr_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.01000_offtargetzymo_mapperbwa-mem_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	66590
1_depth10000000_spike0.01000_offtargetzymo_mapperbwa-mem_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	70536
1_depth10000000_spike0.01000_offtargetzymo_mapperbwa-mem_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
1_depth10000000_spike0.01000_offtargetzymo_mapperminimap2-sr_quanttyperaw_Haloarcula_hispanica_full.tsv	Haloarcula_hispanica_full	3896891	66590
1_depth10000000_spike0.01000_offtargetzymo_mapperminimap2-sr_quanttyperaw_Salinibacter_ruber_full.tsv	Salinibacter_ruber_full	3587328	70536
1_depth10000000_spike0.01000_offtargetzymo_mapperminimap2-sr_quanttyperaw_Trichoderma_reesei_full.tsv	Trichoderma_reesei_full	33395713	0
